player_code,tm_player_id,fpl_name,tm_name
1243,11680,Robert Green,Rob Green
1616,5278,Alexander Manninger,Alexander Manninger
1632,3291,Gareth Barry,Gareth Barry
1718,3160,John Terry,John Terry
1801,3630,Paul Robinson,Paul Robinson
1822,3146,Shay Given,Shay Given
2404,3878,Michael Carrick,Michael Carrick
2513,51730,Jamie Murphy,Jamie Murphy
3201,3190,Stuart Taylor,Stuart Taylor
3736,3540,John O'Shea,John O'Shea
3773,4072,Peter Crouch,Peter Crouch
5288,488,Gerhard Tremmel,Gerhard Tremmel
5589,13683,Dean Whitehead,Dean Whitehead
7525,4321,Steven Pienaar,Steven Pienaar
7551,4241,Joleon Lescott,Joleon Lescott
7645,13520,Phil Jagielka,Phil Jagielka
906,36861,Damien Delaney,Damien Delaney
7958,3875,Jermain Defoe,Jermain Defoe
8380,12691,James Collins,James Collins
9047,3881,Glen Johnson,Glen Johnson
9110,9508,Shaun Maloney,Shaun Maloney
9808,3455,Zlatan Ibrahimovic,Zlatan Ibrahimović
10318,4311,Maarten Stekelenburg,Maarten Stekelenburg
10460,13796,Grant Leadbitter,Grant Leadbitter
10589,4190,Brian Murphy,Brian Murphy
11037,49655,Rickie Lambert,Rickie Lambert
11334,5658,Petr Cech,Petr Cech
11352,51528,Bruno Saltor Grau,Bruno Saltor
11467,36866,Billy Jones,Billy Jones
11554,12814,Julian Speroni,Julián Speroni
11735,13427,Steve Sidwell,Steve Sidwell
11829,14066,Wayne Routledge,Wayne Routledge
12002,4063,Stewart Downing,Stewart Downing
12086,3838,Boaz Myhill,Boaz Myhill
12150,12124,Glenn Whelan,Glenn Whelan
12390,9422,Allan McGregor,Allan McGregor
12413,2998,Robert Huth,Robert Huth
12496,7589,Víctor Valdés,Víctor Valdés
12679,9988,Michael Dawson,Michael Dawson
12744,33963,David Nugent,David Nugent
12745,13507,Leighton Baines,Leighton Baines
12813,3306,Jonathan Walters,Jonathan Walters
13017,3332,Wayne Rooney,Wayne Rooney
13152,56872,Andy King,Andy King
14075,5285,Patrice Evra,Patrice Evra
14295,3547,Darren Fletcher,Darren Fletcher
14937,8198,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo
15109,13465,Tom Huddlestone,Tom Huddlestone
15114,40043,Leon Britton,Leon Britton
15137,15166,Liam Rosenior,Liam Rosenior
15144,9500,David Marshall,David Marshall
15157,3333,James Milner,James Milner
15208,2514,Bastian Schweinsteiger,Bastian Schweinsteiger
15237,29975,Andrew Surman,Andrew Surman
15276,3292,Joey Barton,Joey Barton
15633,16660,Alex Baptiste,Alex Baptiste
15749,40204,Joe Hart,Joe Hart
15885,4233,Adam Federici,Adam Federici
15944,25366,Michael Kightly,Michael Kightly
15982,4055,Dean Marney,Dean Marney
16045,14081,Ben Watson,Ben Watson
17127,6710,Per Mertesacker,Per Mertesacker
17336,7449,Gaël Clichy,Gaël Clichy
17339,28973,Steven Davis,Steven Davis
18507,44779,Diego Da Silva Costa,Diego Costa
19524,15799,Santiago Cazorla,Santi Cazorla
18656,19059,Heurelho da Silva Gomes,Heurelho Gomes
40276,44675,Bojan Krkic Perez,Bojan Krkic
41705,39471,Bradley Guzan,Brad Guzan
41792,646658,Aaron Ramsey,Aaron Ramsey
49579,65278,Pedro Rodríguez Ledesma,Pedro
49806,58993,David Junior Hoilett,Junior Hoilett
52775,60577,Nicolas Nkoulou,Nicolas N'Koulou
61262,85314,Oscar dos Santos Emboaba Junior,Oscar
61558,60444,Thiago Alcántara do Nascimento,Thiago Alcántara
66749,96341,Romelu Lukaku Bolingoli,Romelu Lukaku
61858,62049,Mame Biram Diouf,Mame Diouf
61603,73491,Daniel Drinkwater,Danny Drinkwater
75826,203026,Danny Ward,Danny Ward
78056,66100,Oriol Romeu Vidal,Oriol Romeu
80788,85928,Daniel Lafferty,Danny Lafferty
80792,114093,Greg Cunninghamm,Greg Cunningham
80801,126665,Idrissa Gana Gueye,Idrissa Gueye
84583,80444,Philippe Coutinho Correia,Philippe Coutinho
171162,177862,Charly Musonda,Charly Musonda Jr
171287,256178,Joseph Gomez,Joe Gomez
171314,258004,Rúben Santos dos Santos Gato Alves Dias,Rúben Dias
182539,319745,Daniel Ceballos Fernández,Dani Ceballos
195384,338424,Mikel Merino Zazón,Mikel Merino
198849,318077,Lucas Torreira di Pascua,Lucas Torreira
198869,335721,Benjamin White,Ben White
212319,378710,Richarlison de Andrade,Richarlison
223332,433181,Faustino Anjorin,Tino Anjorin
224946,493607,Matthew Worthington,Matt Worthington
226597,435338,Gabriel dos Santos Magalhães,Gabriel
232980,471690,Maximillian Aarons,Max Aarons
19624,29364,João Filipe Iria Santos Moutinho,João Moutinho
19838,39037,Robert Elliot,Rob Elliot
27789,26267,Fernando Luiz Rosa,Fernandinho
28690,46220,Pablo Hernández Domínguez,Pablo Hernández
37339,66333,Ahmed Elmohamady,Ahmed El Mohamady
38533,45026,Rui Pedro dos Santos Patrício,Rui Patricio
39790,27486,Francisco Casilla Cortés,Kiko Casilla
40559,45882,Fabricio Agosto Ramírez,Fabri
40694,37403,Roberto Jimenez Gago,Roberto
41270,46741,David Luiz Moreira Marinho,David Luiz
48760,52059,Mathias Jorgensen,Zanka
54484,76467,Francisco Femenía Far,Kiko Femenía
154561,262749,David Raya Martín,David Raya
154296,257455,João Maria Palhinha Gonçalves,João Palhinha
231372,450936,Tanguy Ndombélé Alvaro,Tanguy Ndombélé
428399,462250,João Félix Sequeira,João Félix
436234,537382,Bryan Gil Salvatierra,Bryan Gil
441164,553875,Pedro Porro Sauceda,Pedro Porro
442229,401604,Michał Karbownik,Michal Karbownik
447203,546543,Darwin Núñez Ribeiro,Darwin Núñez
457569,465555,Đorđe Petrović,Djordje Petrovic
465607,466810,Anssumane Fati Vieira,Ansu Fati
465920,537860,Mykhailo Mudryk,Mykhaylo Mudryk
481655,423440,Martín Zubimendi Ibáñez,Martín Zubimendi
486672,687626,Moisés Caicedo Corozo,Moisés Caicedo
488024,568157,Yéremy Pino Santos,Yéremy Pino
494779,503866,Albert Grønbæk,Albert Grønbaek
494543,864496,Dominic Ballard,Dom Ballard
475168,626724,João Pedro Junqueira de Jesus,João Pedro
467311,624948,Matthew Pollock,Mattie Pollock
467169,602105,Antony Matheus dos Santos,Antony
46483,56810,Adrien Sebastian Silva,Adrien Silva
60706,71271,Adrián San Miguel del Castillo,Adrián San Miguel
77777,111524,Ahmed El-Sayed Hegazy,Ahmed Hegazy
92371,210178,Pablo Marí Villar,Pablo Marí
102884,195488,Paulo Gazzaniga Farias,Paulo Gazzaniga
109528,162029,Javier Manquillo Gaitán,Javier Manquillo
121145,182712,João Pedro Cavaco Cavaco Cancelo,João Cancelo
141746,240306,Bruno Miguel Borges Fernandes,Bruno Fernandes
152551,262980,Jefferson Lerma Solís,Jefferson Lerma
153379,286919,Joshua Sims,Josh Sims
51090,29241,Thiago Thiago,Thiago Silva
73314,122155,Willian José Da Silva,Willian José
80954,131505,Rodrigo Moreno,Rodrigo
85955,102017,Jorge Luiz Frello Filho,Jorginho
89274,176591,José Ignacio Peleteiro Romallo,Jota Peleteiro
94926,233998,Olayinka Fredrick Oladotun Ladapo,Freddie Ladapo
95715,77100,Lucas Rodrigues Moura da Silva,Lucas Moura
96994,186186,Bobby Reid,Bobby De Cordova-Reid
100649,175169,Bernard Anício Caldeira Duarte,Bernard
101537,159372,Felipe Anderson Pereira Gomes,Felipe Anderson
101582,191614,Frederico Rodrigues de Paula Santos,Fred
102836,191056,Brice Samba,Brice Samba
106468,193098,Álex Moreno Lopera,Álex Moreno
111291,137745,Fernando Marçal,Marçal
158983,146310,Wataru Wataru,Wataru Endo
114128,175446,Jonathan Castro Otto,Jonny Otto
116404,156501,Felipe Augusto de Almeida Monteiro,Felipe
116643,225693,Fabio Henrique Tavares,Fabinho
119765,126422,Allan Marques Loureiro,Allan
120250,221025,André Filipe Tavares Gomes,André Gomes
140941,245072,Stipe Perica,Stipe Perica
148508,234189,Mahmoud Ahmed Ibrahim Hassan,Trezeguet
152590,255755,Alex Nicolao Telles,Alex Telles
153256,160438,Mohamed Naser Elneny,Mohamed Elneny
154138,249873,Tariqe Fosu-Henry,Tariqe Fosu
162651,255744,Samir Caetano de Souza Santos,Samir Caetano
165152,337640,Glen Rea,Glen Rea
165659,329145,Diego Carlos Santos Silva,Diego Carlos
165808,173900,Hélder Wander Sousa de Azevedo e Costa,Hélder Costa
166324,149716,Ivan Ricardo Neves Abreu Cavaleiro,Ivan Cavaleiro
166325,203655,Carlos Ribeiro Dias,Cafú
167191,288323,Marcus Myers-Harness,Marcus Harness
167473,147094,José Heriberto Izquierdo Mena,José Izquierdo
167767,281404,Robert Kenedy Nunes do Nascimento,Kenedy
168765,243589,Joshua Onomah,Josh Onomah
171317,225161,Rúben Diogo da Silva Neves,Rúben Neves
173399,192167,Mohamed Dräger,Mohamed Dräger
173514,295331,Isaac Success Ajayi,Isaac Success
174932,251845,Sergi Canós Tenés,Sergi Canós
175353,346472,Ayotomiwa Dele-Bashiru,Tom Dele-Bashiru
178173,307497,Matthew Clarke,Matt Clarke
179018,272999,Miguel Almirón Rejala,Miguel Almirón
180974,333241,Joelinton Cássio Apolinário de Lira,Joelinton
183656,340321,Pelenda Joshua Dasilva,Josh Dasilva
185253,330085,Gustavo Henrique Furtado Scarpa,Gustavo Scarpa
